AOA,Beta,d_e,d_a,d_r,p,q,r,Cx_s,Cy_s,Cz_s,Cl_s,Cm_s,Cn_s
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 0.0000000000000000e+00,-3.9250000000000002e-01,-8.4309603574035594e-03,-5.6304474256759366e-03,-2.7897678892917027e-02, 2.0800402777246550e-04, 2.3877297106665158e-02, 2.5759178250660568e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 1.2000000000000000e+00, 3.9250000000000002e-01,-1.6493945203254797e-03, 1.9348746324441137e-02,-1.4314922520701509e-01, 3.5814060602781056e-02,-1.2843396665755924e-01,-9.5917236105744815e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00,-8.4561786051662834e-03, 7.1963416722232044e-03,-2.8416468491889363e-02, 2.0151190817179220e-03, 2.3507784923419567e-02,-3.1840424900608112e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 0.0000000000000000e+00, 3.9250000000000002e-01,-8.2046354258944257e-03, 2.0035894997017866e-02,-2.9681584885410898e-02, 3.8414455156644324e-03, 2.2168447769060236e-02,-8.9508344375359220e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 1.2000000000000000e+00,-3.9250000000000002e-01,-4.7492249349573110e-03,-5.6059562113386545e-03,-1.4126622056261631e-01,-8.3831269834953620e-05,-1.2834288725599199e-01, 2.5176760684460743e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 1.2000000000000000e+00,-1.2000000000000000e+00,-3.9250000000000002e-01, 3.1655816326215543e-03,-8.0747075600827740e-03, 8.5122180113571227e-02,-3.1452374704360846e-02, 1.7589404775650588e-01, 5.0110913100333094e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 1.2000000000000000e+00,-1.2000000000000000e+00, 0.0000000000000000e+00, 3.3248681097952917e-03, 5.7083530795091998e-03, 8.8560166702292886e-02,-2.9969419392459781e-02, 1.7890348542131318e-01,-1.0819784639428682e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 1.2000000000000000e+00, 3.9250000000000002e-01,-4.3435984089909667e-03, 1.8374705590674934e-02,-1.4392639205122584e-01, 3.9522046789038775e-03,-1.3106993596110886e-01,-8.4355016592199544e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00, 1.2000000000000000e+00, 0.0000000000000000e+00,-4.7187631124712441e-03, 6.3979320657666797e-03,-1.4204435143998162e-01, 1.9103712649582950e-03,-1.2901802742105398e-01,-2.9662719385086032e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 1.2000000000000000e+00, 0.0000000000000000e+00,-3.9250000000000002e-01,-5.8562850338784783e-03,-7.3761752304361446e-03,-2.9521285542971898e-02,-3.1713061087536604e-02, 2.2340783289561142e-02, 4.3551583650107339e-03
